Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('d1600439', 9.58753192308135)
('d1600440', 28.60366011166024)
('d1600441', 16.028109634057696)
('d1600442', 23.869207635216213)
('d1600443', 32.477580363823414)
('d1600444', 39.88037765814501)
('d1600445', 35.45374878572802)
('d1600446', 29.703135663024362)
('d1600447', 44.83993999664579)
('d1600448', 38.145823654923085)
('d1600449', 32.56118718635908)
('d1600450', 33.03987546715853)
('d1600451', 33.618243699875116)
('d1600452', 29.703135663024362)
('d1600453', 44.02002629093249)
('d1600454', 16.411249050761608)
('d1600455', 38.68666718102871)
('d1600456', 15.334855887304599)
('d1600457', 39.09993533851937)
('d1600458', 8.665765111087936)
('d1600459', 40.84494908809945)
('d1600460', 35.49146385381382)
('d1600461', 34.44709476562725)
('d1600462', 50.918801152721315)
('d1600463', 35.07440225016074)
('d1600464', 47.58836082869836)
('d1600465', 49.58082853879631)
('d1600466', 47.15646664154748)
('d1600467', 43.378161691991025)
('d1600468', 54.784663529359904)
('d1600469', 0.0)
('d1600470', 0.0)
('d1600471', 0.0)
('d1600472', 0.0)
('d1600473', 0.0)
('d1600474', 0.0)
('d1600475', 0.0)
('d1600476', 0.0)
('d1600477', 0.0)
('d1600478', 0.0)
('d1600479', 0.0)
('d1600480', 0.0)
('d1600481', 0.0)
('d1600482', 0.0)
('d1600483', 0.0)
('d1600484', 0.0)
('d1600485', 0.0)
('d1600486', 0.0)
('d1600487', 0.0)
('d1600488', 0.0)
('d1600489', 0.0)
('d1600490', 0.0)
('d1600491', 0.0)
('d1600492', 0.0)
('d1600493', 0.0)
('d1600494', 0.0)
('d1600495', 0.0)
('d1600496', 0.0)
('d1600497', 0.0)
('d1600498', 0.0)
('d1600499', 0.0)
('d1600500', 0.0)
('d1600501', 0.0)
('d1600502', 0.0)
('d1600503', 0.0)
('d1600504', 0.0)
('d1600505', 0.0)
('d1600506', 0.0)
('d1600507', 0.0)
('d1600508', 0.0)
('d1600509', 0.0)
('d1600510', 0.0)
('d1600511', 0.0)
('d1600512', 0.0)
('d1600513', 0.0)
('d1600514', 0.0)
('d1600515', 0.0)
('d1600516', 0.0)
('d1600517', 0.0)
('d1600518', 0.0)
('d1600519', 0.0)
('d1600520', 0.0)
('d1600521', 0.0)
('d1600522', 0.0)
('d1600523', 0.0)
('d1600524', 0.0)
('d1600525', 0.0)
('d1600526', 0.0)
('d1600527', 0.0)
('d1600528', 0.0)
('d1600529', 0.0)
('d1600530', 0.0)
('d1600531', 0.0)
('d1600532', 0.0)
('d1600533', 0.0)
('d1600534', 0.0)
('d1600535', 0.0)
('d1600536', 0.0)
('d1600537', 0.0)
('d1600538', 0.0)
